"Event","Type","Activity","Date","Title","Format","Invitation","Links","Place"
"PAW 2026","Talk with Q&A","DLR, Speaker","September 21, 2026 13:00 (GMT+2)","“Sexism and microaggressions in the workplace” or “It’s Not ‘Just a Joke’: How Microaggressions & Sexism Undermine STEMM”","In presence","Invited","https://paw-germany-2026.sessionize.com/session/1264160","Munich, Bavaria, Germany"
"DLR School Lab Conference","Talk with Q&A","DLR, Speaker","September 27, 2026 → September 28, 2026","Microaggressions Workshop + LGBTQIA+ Workshop","In presence","Invited","","Heidelberg, Baden-Wurttemberg, Germany"
"Women in Computer Science","","DLR, Speaker","October 1, 2026","","","","",""
"RAeS - Tech Talk","Talk with Q&A","DLR, Speaker","November 5, 2026","The Future of Satellite Navigation: Where are we going?","In presence","Invited","",""
"DLR Hamburg Works Council","Talk with Q&A","DLR, Speaker","August 31, 2027","Microaggressions","In presence","Invited","",""
"CWIEME Berlin","Workshop","DLR, Speaker","","Women in STEM - sexism & microaggressions","In presence","Invited","",""
"EUROAVIA TUM","Panelist","DLR","June 18, 2026 10:00 (GMT+2)","Meet the Researchers","In presence","Invited","","Munich, Bavaria, Germany"
"Why Research Matters? - Podcast","Podcast","DLR, Speaker","June 16, 2026","Why Research Matters?","Online","Invited","",""
"Dialogue for Space","Keynote","DLR","May 29, 2026","Next-generation GNSS","Online","Invited","",""
"EUROCONTROL - IDAHOBIT","Keynote","DLR, Speaker","May 18, 2026","Seeing Each Other Differently","In presence","Invited","https://www.linkedin.com/posts/cecile-deprez_idahobit-lgbtqia-allyshipwithin-ugcPost-7462783820484788224-neIT | https://www.linkedin.com/posts/easa-aviationinclusion-inclusion-share-7462433346942402561-t3Y4 | https://www.eurocontrol.int/event/aviation-inclusion-event","Brussels, Belgium"
"DLR - DIVERIS Annual Meeting Poster","Poster","DLR, Speaker","May 7, 2026","","In presence","Accepted","","Brussels, Belgium"
"SGAC - DIVERIS Annual Meeting Poster","Poster","DLR, Speaker","May 7, 2026","Diversity & Gender Equality Project Group","In presence","Accepted","","Brussels, Belgium"
"TU Dortmund - Diversity","Talk with Q&A","DLR, Speaker","April 22, 2026 → April 23, 2026","Question your practices: There is no magic solution to attract diverse talents in the workforce","In presence","Invited","","Dortmund, North-Rhine-Westphalia, Germany"
"TU Dortmund - NextGen","Talk with Q&A","DLR, Speaker","April 22, 2026 → April 23, 2026","The Future of Satellite Navigation: Where are we going?","In presence","Invited","","Dortmund, North-Rhine-Westphalia, Germany"
"La Ruche - Métiers","Panelist","DLR, Speaker","February 28, 2026","","In presence","Accepted","","Munich, Bavaria, Germany"
"Bridging the Gap Podcast","Podcast","DLR, Speaker","February 13, 2026","Bridging the Gap: Satellites, Signals & Standing Up","Online","Invited","https://share.transistor.fm/s/75eb7a0d | https://www.linkedin.com/posts/rachanareddym_bridging-the-gap-satellites-signals-standing-activity-7477643928784142336-RyHs",""
"ESOC LGBTQIA+ in STEM","Talk with Q&A","DLR, Speaker","November 19, 2025","LGBTQIA+ in STEM","","Invited","",""
"DIVERIS Labs on LGBTQIA+","Talk with Q&A","DLR, Speaker","November 18, 2025 11:00 (GMT+1) → 12:00","Innovation Through Inclusion: The LGBTIQ+ Impact in STEM","Online","Invited","https://defence-industry-space.ec.europa.eu/innovation-through-inclusion-lgbtiq-impact-stem-2025-11-18_en",""
"Max Planck Bio Cybernetics","Talk with Q&A","DLR, Speaker","November 16, 2025 → November 17, 2025","LGTQIA+ & Allies","In presence","Invited","","Max Planck Institute for Biological Cybernetics"
"Aviation 4 Girls","Keynote","DLR, Speaker","November 10, 2025","Aviation for all","In presence","Invited","","Brussels, Belgium"
"Role Model WIA-E Website","","DLR, Speaker","November 7, 2025","Role model profile on WIA-Europe website","","Invited","",""
"DLR IMN Ulm","Talk with Q&A","DLR, Speaker","November 4, 2025 13:00 (GMT+1) → 15:00","Sexism and Microaggressions","In presence","Invited","","Ulm, Baden-Wurttemberg, Germany"
"ISU Talk","Talk with Q&A","DLR, Speaker","October 15, 2025 → October 16, 2025","Diversity, Inclusion and Innovation","In presence","Invited","","Strasbourg, Grand Est, France"
"ISU Panel","Talk with Q&A","DLR, Speaker","October 15, 2025 → October 16, 2025","Diversity and Inclusion in the space sector","In presence","Invited","","Strasbourg, Grand Est, France"
"DLR Dresden","Talk with Q&A","DLR, Speaker","September 29, 2025 → September 30, 2025","Sexism and Microaggressions in the Workplace","In presence","Invited","","Dresden, Saxony, Germany"
"Interview F.A.Z.","Interview - article","DLR","March 27, 2025","","Online","Invited","",""
"Soirée Rencontre - Interview","Interview - live","DLR, Speaker","March 25, 2025 19:00 (GMT+1) → 21:30","Soirée Rencontre-interview avec Cécile Dreprez, chercheuse","In presence","Invited","https://www.laruchemunich.com/agenda | https://www.linkedin.com/posts/la-ruche-munich_retour-sur-notre-soir%C3%A9e-interview-avec-activity-7310972088654139393-rUOy","","Munich, Bavaria, Germany"
"IKoll - Kinematic PPP with HAS for LEO applications – Results & Conclusion","Talk with Q&A","DLR","February 3, 2025 14:00 (GMT+1) → 14:00","GHASP3: A Precise Point Positioning Tool for Space and Ground Applications","Online","Accepted","","Dlr Oberpfaffenhofen"
"Max Planck Institute for Extraterrestrial Physics","Talk with Q&A","DLR, Speaker","January 30, 2025 11:00 (GMT+1)","Space Allies: Strengthening Space Science Teams through Allyship and Collaboration","In presence","Invited","https://www.mpe.mpg.de/events/40466/2163","","Garching bei München, Bavaria, Germany"
"Institute Assembly: GHASP3 updates","Talk with Q&A","DLR","December 9, 2024","Kinematic PPP with HAS","In presence","Invited","",""
"SAE - ESA: Urban mobility","Keynote","DLR","December 4, 2024","Next-generation GNSSs","In presence","Invited","https://www.linkedin.com/posts/roncune_navigating-tomorrow-urban-mobilitys-future-activity-7238868599585583105-jzVE | https://www.sae.org/attend/symposium-on-navigation-and-positioning-in-urban-mobility | https://insidegnss.com/europe-navigating-urban-mobility-challenges/",""
"MPIA: Scientific work","Talk with Q&A","DLR","November 14, 2024","The Future of Satellite Navigation","In presence","Invited","",""
"International Space University 2","Panelist","DLR, Speaker","November 8, 2024","Panel","In presence","Invited","https://www.linkedin.com/posts/geraldine-moser_astraios-msc25-mss25-activity-7260626641272344576-vpl1","",""
"ION x DLR part 2","Video","DLR","September 19, 2024","ION GNSS+ impressions","In presence","Invited","https://www.instagram.com/reel/DAHEUSrPcg3/?igsh=bWZoeHd0bWo1emZl | https://www.linkedin.com/posts/ionavigation_were-thrilled-to-see-c%C3%A9cile-deprezs-insider-activity-7242626412283662338-0BHr","",""
"ION GNSS+","Session chair","DLR","September 18, 2024","","In presence","Invited","",""
"Hexagon | Novatel interview","Interview - article","DLR","September 16, 2024","Hexagon @ ION GNSS+ 2024","In presence","Invited","https://www.linkedin.com/posts/hexagonap_c%C3%A9cile-deprez-from-the-german-aerospace-center-activity-7302367342703886337-sXz4 | https://www.linkedin.com/posts/novatel_iongnss-gnss-iongnss24-activity-7242569968574201858-JAJA | https://www.linkedin.com/posts/novatel_iongnss-iongnss24-randd-activity-7244741201097072641-NQno","",""
"DLR Washington Office | German Embassy","","DLR","September 13, 2024 8:15 (GMT+2) → 12:00","Navigating the Future: Satellite Positioning & Intersectional Advocacy","In presence","Invited","https://www.linkedin.com/posts/cecile-deprez_technologie-innovation-space-activity-7244984570050138112-jH5Q","",""
"ION x DLR video part 1","Video","DLR","August 14, 2024","A Day In The Life","Online","Invited","https://www.instagram.com/reel/C-ptzAkthsM/?igsh=MTNzcXZlbjFsZnlsYw== | https://www.linkedin.com/posts/cecile-deprez_have-you-ever-wondered-what-a-researcher-activity-7229479981851021312-tORQ","",""
"LGBTQ+ Aerospace Leaders Spotlights","Interview - article","DLR, Speaker","June 24, 2024","Women’s Aerospace Network spotlight","Online","Invited","https://www.linkedin.com/posts/womensaerospace_activity-7211005209823592450-glcf","",""
"Gender Day at TADA","Workshop","DLR, Speaker","June 15, 2024","JOURNÉE “ GENDER DAY “","In presence","Invited","https://www.linkedin.com/posts/cecile-deprez_gender-job-tada-activity-7208764876318552066-K_RU","",""
"8th European Space Generation Workshop","Panelist","DLR, Speaker","May 31, 2024","Inclusive Innovation: Building a Diverse Future in Space","In presence","Invited","https://www.linkedin.com/posts/antoniofulvioscannapieco_diversity-inclusion-discrimination-activity-7208791185371340800-vfOm | https://www.linkedin.com/posts/marine-laumain-984187157_esgw-activity-7206233754355286016-Rjc0 | https://www.linkedin.com/posts/danielseyboldto_sgac-esgw-esgw2024-activity-7204498243131457536-Y8dl","",""
"Podcast Our Giant Leap","Podcast","DLR, Speaker","May 23, 2024 19:00 (GMT+2)","Our Giant Leap: Pride Month 2024","Online","Invited","https://www.linkedin.com/posts/space-generation-advisory-council_happypride-ourgiantleappodcast-diversityinspace-activity-7212364561838993408-DYPS | https://open.spotify.com/episode/0a4jRELs5aqWsgh7wZ3c5C","",""
"DLR-KN: Kinematic PPP for LEO satellite with HAS","Talk with Q&A","DLR","April 29, 2024","","Online","Invited","",""
"FTAfelicitas Awards 2024","Keynote","DLR","March 23, 2024","Acceptance Speech with Natalie Hanrieder","In presence","Invited","https://www.femtec-alumnae.org/vorbild-sein/felicitas-preis/","",""
"Yellow Heroines","Interview - live","DLR, Speaker","March 15, 2024","","In presence","Invited","",""
"ION ITM/PTTI 2024","Session chair","DLR","January 23, 2024","Precise GNSS Positioning and Applications","In presence","Invited","https://www.ion.org/itm/upload/ITM24Program.pdf | https://www.linkedin.com/feed/update/urn:li:activity:7155629989839749120/","",""
"ISU - Diversity and inclusion in the space sector","Panelist","DLR, Speaker","January 15, 2024","Panel - Diversity and inclusion in the space sector","In presence","Invited","https://www.linkedin.com/search/results/content/?keywords=ISU%20deprez&sid=pQ%40&update=urn%3Ali%3Afs_updateV2%3A(urn%3Ali%3Aactivity%3A7156650768660402177%2CBLENDED_SEARCH_FEED%2CEMPTY%2CDEFAULT%2Cfalse) | https://www.linkedin.com/feed/update/urn:li:activity:7158399504080109568/ | https://www.instagram.com/p/C2kQcHrNNa8/?utm_source=ig_web_copy_link","",""
"KN Institute Assembly","Interview - live","DLR","December 12, 2023","Interview on the use of social media","In presence","Invited","https://www.linkedin.com/feed/update/urn:li:activity:7140676280282255360/","",""
"UN Space4Women Expert Meeting - Panel","Panelist","DLR, Speaker","November 1, 2023","Inspire through storytelling","In presence","Accepted","https://space4women.unoosa.org/events/2023-space4women-expert-meeting | https://www.linkedin.com/feed/update/urn:li:activity:7130167903340904449 | https://www.linkedin.com/feed/update/urn:li:activity:7125937770035859458",""
